BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,arboreal,fossorial,Diet,acrodont,arboreal_strict,fossorial_strict
Anolis poecilopus,Female,Dactyloidae,Pleurodonta,Anolis_poecilopus,7,7,11.952025917745214,NA,63.1717642699372,15.820182906430023,8.796862696659689,6.670405183549042,15.893725393319377,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus baguali,Female,Liolaemidae,Pleurodonta,Liolaemus_baguali,2,2,12.903158005400378,NA,85.5376659402887,16.253553390593275,11.786101730552664,8.091665222413704,16.95698484809835,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus bibronii,Female,Liolaemidae,Pleurodonta,Liolaemus_bibronii,4,4,3.06,NA,59.04,11.82,8.27,5.71,11.86,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus canqueli,Female,Liolaemidae,Pleurodonta,Liolaemus_canqueli,4,4,13.37,NA,93,17.96,12.33,8.639999999999999,18.71,Arboreal,Other,Omnivorous,Pleurodont,Other,Other
Liolaemus kriegi,Female,Liolaemidae,Pleurodonta,Liolaemus_kriegi,5,5,6.46970583144992,NA,80.05715148309966,16.534852915724958,11.961934955049955,7.56304951684997,17.434427190999916,Other,Other,Omnivorous,Pleurodont,Other,Other
Liolaemus coeruleus,Female,Liolaemidae,Pleurodonta,Liolaemus_coeruleus,5,5,4.6238699100999074,NA,65.84147817412476,12.924295634824952,9.604295634824952,6.047213595499958,13.64790243257493,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus elongatus,Female,Liolaemidae,Pleurodonta,Liolaemus_elongatus,9,9,7.8100000000000005,NA,69.67,15.1,9.629999999999999,6.3,15.309999999999999,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus escarchadosi,Female,Liolaemidae,Pleurodonta,Liolaemus_escarchadosi,2,2,4.88,NA,69.57693434175953,15.032964645562817,9.432253967444161,6.028284271247462,15.21539105243401,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus fitzingerii,Female,Liolaemidae,Pleurodonta,Liolaemus_fitzingerii,6,6,12.071714255958579,NA,95.90675497239096,18.686311204829778,12.121362230551458,8.737877538267963,19.0077754868246,Other,Other,Omnivorous,Pleurodont,Other,Other
Liolaemus hatcheri,Female,Liolaemidae,Pleurodonta,Liolaemus_hatcheri,5,5,2.888328157299975,NA,59.75137767414995,11.967770876399966,8.90304951684997,5.491246117974981,12.305410196624969,Other,Other,Herbivorous,Pleurodont,Other,Other
Liolaemus kingii,Female,Liolaemidae,Pleurodonta,Liolaemus_kingii,7,7,9.852875655532294,NA,81.356260659665665,15.945385498204544,10.486235235991627,7.4126927491022725,16.45955544576196,Other,Other,Omnivorous,Pleurodont,Other,Other
Liolaemus kolengh,Female,Liolaemidae,Pleurodonta,Liolaemus_kolengh,4,4,2.69,NA,58.419999999999995,12.12,8.75,5.36,12.07,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus mapuche,Female,Liolaemidae,Pleurodonta,Liolaemus_mapuche,5,5,7.965804865149861,NA,75.52685731454957,14.71665631459995,10.218328157299974,7.946099033699942,15.201377674149944,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus morenoi,Female,Liolaemidae,Pleurodonta,Liolaemus_morenoi,7,7,10.042470471983252,NA,72.44301919127332,14.749150262212918,10.343320209770335,7.208745078663875,15.114980314655503,Other,Other,Omnivorous,Pleurodont,Other,Other
Liolaemus petrophilus,Female,Liolaemidae,Pleurodonta,Liolaemus_petrophilus,7,7,9.468666337285882,NA,85.47124097432116,19.159960629311005,12.251843011315191,7.689555445761961,20.007450786638756,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus rothi,Female,Liolaemidae,Pleurodonta,Liolaemus_rothi,3,3,7.209896904477143,NA,92.643304475317,19.35166604983954,14.373819952931274,9.489038105676658,20.912191638672116,Other,Other,Carnivorous,Pleurodont,Other,Other
Liolaemus sarmientoi,Female,Liolaemidae,Pleurodonta,Liolaemus_sarmientoi,2,2,5.997401153701777,NA,74.99698484809835,15.11,10.520121933088197,7.910416305603426,15.96414213562373,Other,Other,Omnivorous,Pleurodont,Other,Other
Liolaemus tenuis,Female,Liolaemidae,Pleurodonta,Liolaemus_tenuis,3,3,4.266935750346352,NA,56.63849870466303,12.99870489570875,7.721051177665153,5.171051177665153,12.802102355330305,Arboreal,Other,Carnivorous,Pleurodont,Arboreal,Other
Liolaemus xanthoviridis,Female,Liolaemidae,Pleurodonta,Liolaemus_xanthoviridis,2,2,11.17509667991878,NA,87.50754400720051,17.532964645562817,11.718233764908629,8.606812408671319,17.363675323681473,Other,Other,Omnivorous,Pleurodont,Other,Other
Liolaemus zullyae,Female,Liolaemidae,Pleurodonta,Liolaemus_zullyae,3,3,5.916550992617015,NA,71.9039985196149,15.380999629903723,10.182102355330306,7.51157676649773,16.270807251039056,Other,Other,Carnivorous,Pleurodont,Other,Other
Sauromalus ater,Female,Iguanidae,Pleurodonta,Sauromalus_ater,15,15,28.445966692414835,203.98527517380012,166.40463505020892,28.13649167310371,22.661895003862224,13.349193338482968,NA,Other,Other,Herbivorous,Pleurodont,Other,Other
Trogonophis wiegmanni,Female,Trogonophidae,Lacertoidea,Trogonophis_wiegmanni,10,10,6.091928851253882,8.406007159889242,163.69876183175901,7.10109609582189,5.4427188724235736,4.4427188724235736,NA,Other,Fossorial,Carnivorous,Pleurodont,Other,Fossorial
Lacerta trilineata,Female,Lacertidae,Lacertoidea,Lacerta_trilineata,12,12,47.41,NA,148,44.7,23.2,16.6,25.6,Arboreal,Other,Omnivorous,Pleurodont,Other,Other
Iberolacerta horvathi,Female,Lacertidae,Lacertoidea,Iberolacerta_horvathi,25,25,1.3395,NA,66.1,20.6,8.2,5.6,NA,Other,Other,Carnivorous,Pleurodont,Other,Other
Tarentola mauritanica,Female,Phyllodactylidae,Gekkota,Tarentola_mauritanica,18,18,3.23,NA,66.86,19.75,15.79,8.89,NA,Arboreal,Other,Carnivorous,Pleurodont,Other,Other
Ablepharus kitaibelii,Female,Scincidae,Scincoidea,Ablepharus_kitaibelii,5,5,0.25,0.89,43.09,6.659999999999999,3.68,2.66,6.15,Other,Other,Carnivorous,Pleurodont,Other,Other
Gallotia atlantica,Female,Lacertidae,Lacertoidea,Gallotia_atlantica,18,18,12,13.2,69.3,16,9.4,6.8,17.2,Other,Other,Omnivorous,Pleurodont,Other,Other
Gallotia bravoana,Female,Lacertidae,Lacertoidea,Gallotia_bravoana,15,15,113.60000000000001,172.1,178.10000000000002,39.8,27.4,20.5,41.800000000000004,Other,Other,Herbivorous,Pleurodont,Other,Other
Gallotia caesaris,Female,Lacertidae,Lacertoidea,Gallotia_caesaris,20,20,19.7,17.8,90.19999999999999,20.6,11.8,9.299999999999999,22.3,Other,Other,Omnivorous,Pleurodont,Other,Other
Gallotia intermedia,Female,Lacertidae,Lacertoidea,Gallotia_intermedia,4,4,69.3,93,140.4,31.900000000000002,19.599999999999998,15.200000000000001,33.8,Other,Other,Omnivorous,Pleurodont,Other,Other
Gallotia simonyi,Female,Lacertidae,Lacertoidea,Gallotia_simonyi,14,14,114.6,271.5,204.7,44.9,31.5,23,47.8,Other,Other,Herbivorous,Pleurodont,Other,Other
Gallotia stehlini,Female,Lacertidae,Lacertoidea,Gallotia_stehlini,25,25,97.7,135.7,171.70000000000002,39.9,25.4,19.3,42.7,Other,Other,Herbivorous,Pleurodont,Other,Other
Zootoca vivipara,Female,Lacertidae,Lacertoidea,Zootoca_vivipara,16,16,1.8599999999999999,3.33,55.65,10.239999999999998,6.51,4.95,10.67,Other,Other,Carnivorous,Pleurodont,Other,Other
Podarcis muralis,Female,Lacertidae,Lacertoidea,Podarcis_muralis,21,21,13.57,5.86,61.9,13.05,7.49,5.94,13.57,Other,Other,Carnivorous,Pleurodont,Other,Other
Sphenodon punctatus,Female,Sphenodontidae,Rhynchocephalia,Sphenodon_punctatus,70,70,143.9,334.8,214.2,54.5,40.5,29.7,57.9,Other,Other,Carnivorous,Acrodont,Other,Other
Anolis heterodermus,Female,Dactyloidae,Pleurodonta,Anolis_heterodermus,15,15,20.23,NA,74.64,20.91,10.59,9.34,20.389999999999997,Arboreal,Other,Carnivorous,Pleurodont,Arboreal,Other
Anolis allisoni,Female,Dactyloidae,Pleurodonta,Anolis_allisoni,7,7,3.45,NA,56.07,21.099999999999998,9.440000000000001,6.62,18.900000000000002,Arboreal,Other,Carnivorous,Pleurodont,Arboreal,Other
Anolis angusticeps,Female,Dactyloidae,Pleurodonta,Anolis_angusticeps,26,26,2.99,NA,40.86,12.530000000000001,6.23,4.9,12.530000000000001,Arboreal,Other,Carnivorous,Pleurodont,Arboreal,Other
