BinomialReptileDatabase,Sex,Family,HigherTaxonomy,Superfamily,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Anolis humilis,Male,Dactyloidae,Iguania,Iguania,Anolis_humilis,30,30,1.77,NA,32.73,9.99,5.54,4.27,9.83
Anolis krugi,Male,Dactyloidae,Iguania,Iguania,Anolis_krugi,39,39,1.91,NA,38.9,12.88,6.76,5.89,12.88
Anolis limifrons,Male,Dactyloidae,Iguania,Iguania,Anolis_limifrons,26,26,1.42,NA,37.6,10.63,5.4,4.23,10.27
Anolis olssoni,Male,Dactyloidae,Iguania,Iguania,Anolis_olssoni,29,29,2.57,NA,43.65,12.3,5.89,5.13,13.18
Anolis pulchellus,Male,Dactyloidae,Iguania,Iguania,Anolis_pulchellus,36,36,2.52,NA,42.13,13.43,6.3,5.36,13.68
Anolis singularis,Male,Dactyloidae,Iguania,Iguania,Anolis_singularis,16,16,2.51,NA,38.9,12.3,6.76,5.25,12.88
Anolis smaragdinus,Male,Dactyloidae,Iguania,Iguania,Anolis_smaragdinus,54,54,2.88,NA,53.7,16.6,8.32,5.75,17.38
Anolis stratulus,Male,Dactyloidae,Iguania,Iguania,Anolis_stratulus,38,38,1.82,NA,44.67,13.8,7.76,5.5,13.8
Anolis valencienni,Male,Dactyloidae,Iguania,Iguania,Anolis_valencienni,23,23,6.7,NA,67.47,19.89,9.59,7.97,19.96
Bradypodion melanocephalum,Male,Chamaeleonidae,Iguania,Iguania,Bradypodion_melanocephalum,25,23,10.37,NA,49.14,11.68,7.54,6.98,11.55
Karusasaurus polyzonus,Male,Cordylidae,Scincoidea,Scincomorpha,Karusasaurus_polyzonus,16,16,33.19,NA,101.04,25.78,21.68,12.81,26.48
Dalmatolacerta oxycephala,Male,Lacertidae,Lacertoidea,Scincomorpha,Dalmatolacerta_oxycephala,34,34,5.9,NA,58.4,15.1,8.2,5.8,15.9
Ouroborus cataphractus,Male,Cordylidae,Scincoidea,Scincomorpha,Ouroborus_cataphractus,19,19,58.01,NA,105.03,29.08,27.54,14.01,28.64
Podarcis siculus,Male,Lacertidae,Lacertoidea,Scincomorpha,Podarcis_siculus,NA,NA,11.25,6.38,69.54,16.33,9.13,7.35,17.45
Xenosaurus grandis,Male,Xenosauridae,Anguimorpha,Diploglossa,Xenosaurus_grandis,11,11,18.94,NA,109.78,26.45,21.63,13.18,28.79
