BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Diplolaemus leopardinus,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vicenzi, et al., 2020",Leiosauridae,unknown,21,20,18.7,6.140651431,1.34,NA,79.69,9.623408959,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,3.32,NA,NA,NA,NA,NA,NA,Yes2,Pleurodonta,Diplolaemus_leopardinus,Non acrodont,20,19.82,89.31340896,24.84065143,NA,NA,NA,NA
Dipsosaurus dorsalis,Neartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, 2007",Iguanidae,Male,10,10,NA,NA,NA,NA,125.74,5.7,NA,NA,22.38,0.6,NA,NA,19.15,1.31,NA,NA,14.17,0.87,NA,NA,18.99,2.21,NA,NA,NA,NA,NA,NA,Maybe,Pleurodonta,Dipsosaurus_dorsalis,Non acrodont,18,21.2,131.44,NA,22.98,20.46,15.04,NA
Dracaena guianensis,Neotropic,Arboreal/Semi-Aquatic,Carnivorous,Other,Other,Other,"Schaerlaeken, et al., 2012",Teiidae,unknown,4,4,NA,NA,NA,NA,389,38.1,NA,NA,81.2,6.6,NA,NA,69.9,8.2,NA,NA,55.5,6,NA,NA,383.3,88.2,NA,NA,100,8.5,NA,NA,Yes1,Lacertoidea,Dracaena_guianensis,Non acrodont,16,471.5,427.1,NA,87.8,78.1,61.5,108.5
Elgaria kingii,Neartic,Terrestrial/Cryptic,Carnivorous,Other,Other,Other,"Meyers & Irschick, 2015",Anguidae,unknown,15,15,NA,NA,NA,NA,80.12,13.05195388,3.37,NA,NA,NA,NA,NA,9.93,1.704112672,0.44,NA,7.11,1.045705503,0.27,NA,5.96,3.02092701,0.78,NA,NA,NA,NA,NA,Yes1,Anguimorpha,Elgaria_kingii,Non acrodont,16,8.98092701,93.17195388,NA,NA,11.63411267,8.155705503,NA
Eremiascincus isolepis,Australasia,Terrestrial,Carnivorous,Other,Other,Other,"D'Amore, et al., 2018",Scincidae,unknown,5,5,3,1.84,NA,NA,53.11,9.91,NA,NA,9.68,1.8,NA,NA,7.23,1.48,NA,NA,NA,NA,NA,NA,0.32,0.23,NA,NA,NA,NA,NA,NA,Yes1,Scincoidea,Eremiascincus_isolepis,Non acrodont,18,0.55,63.02,4.84,11.48,8.71,NA,NA
Eulamprus heatwolei,Australasia,Semi-Aquatic,Carnivorous,Other,Other,Other,"Herrel, 2007",Scincidae,Male,3,3,NA,NA,NA,NA,109.17,10.7,NA,NA,21.37,0.43,NA,NA,13.7,0.83,NA,NA,11.24,0.23,NA,NA,16.66,1.7,NA,NA,NA,NA,NA,NA,Maybe,Scincoidea,Eulamprus_heatwolei,Non acrodont,18,18.36,119.87,NA,21.8,14.53,11.47,NA
Eurolophosaurus nanuzae,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Simon, et al., 2019",Tropiduridae,unknown,29,29,NA,NA,NA,NA,53.74,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.91,5.67,NA,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Eurolophosaurus_nanuzae,Non acrodont,24,35.58,56.39,NA,NA,NA,NA,NA
Gallotia atlantica,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,Lopez-Darias et al. 2015,Lacertidae,Male,20,20,21,5.9,NA,NA,91.1,6,NA,NA,21.4,1.5,NA,NA,14,1.3,NA,NA,9.7,1.2,NA,NA,29.7,5.9,NA,NA,23.9,1.7,NA,NA,Maybe,Lacertoidea,Gallotia_atlantica,Non acrodont,14,35.6,97.1,26.9,22.9,15.3,10.9,25.6
Gallotia atlantica,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,Lopez-Darias et al. 2015,Lacertidae,Female,18,18,7.8,5.4,NA,NA,63.4,5.9,NA,NA,14.5,1.5,NA,NA,8.3,1.1,NA,NA,6,0.8,NA,NA,8.4,3.6,NA,NA,15.5,1.7,NA,NA,Maybe,Lacertoidea,Gallotia_atlantica,Non acrodont,14,12,69.3,13.2,16,9.4,6.8,17.2
Gallotia bravoana,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Male,14,14,210.5,21.7,NA,NA,184.5,7.2,NA,NA,46.1,1.9,NA,NA,31.6,1.3,NA,NA,23.4,1.4,NA,NA,133.3,10.7,NA,NA,48.2,2.2,NA,NA,Maybe,Lacertoidea,Gallotia_bravoana,Non acrodont,14,144,191.7,232.2,48,32.9,24.8,50.4
Gallotia bravoana,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Female,15,15,159.2,12.9,NA,NA,172.3,5.8,NA,NA,38.3,1.5,NA,NA,26.2,1.2,NA,NA,19.8,0.7,NA,NA,104.4,9.2,NA,NA,40.1,1.7,NA,NA,Maybe,Lacertoidea,Gallotia_bravoana,Non acrodont,14,113.6,178.1,172.1,39.8,27.4,20.5,41.8
Gallotia caesaris,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,Lopez-Darias et al. 2015,Lacertidae,Male,7,7,27.6,7.7,NA,NA,96.9,8.8,NA,NA,24.9,2.8,NA,NA,14.9,3,NA,NA,11.9,1.8,NA,NA,40.1,14.7,NA,NA,27,12.8,NA,NA,Maybe,Lacertoidea,Gallotia_caesaris,Non acrodont,14,54.8,105.7,35.3,27.7,17.9,13.7,39.8
Gallotia caesaris,Paleartic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,Lopez-Darias et al. 2015,Lacertidae,Female,20,20,14.8,3,NA,NA,84.6,5.6,NA,NA,19.3,1.3,NA,NA,10.9,0.9,NA,NA,8.6,0.7,NA,NA,15.9,3.8,NA,NA,20.8,1.5,NA,NA,Maybe,Lacertoidea,Gallotia_caesaris,Non acrodont,14,19.7,90.2,17.8,20.6,11.8,9.3,22.3
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, et al., 2004",Lacertidae,Male,15,15,NA,NA,NA,NA,112,10.2,NA,NA,30.2,3.2,NA,NA,19.9,2.1,NA,NA,16.3,2.7,NA,NA,107.6,32.2,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Gallotia_galloti,Non acrodont,18,139.8,122.2,NA,33.4,22,19,NA
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, et al., 2004",Lacertidae,Female,24,24,NA,NA,NA,NA,92.1,7.9,NA,NA,22.9,1.7,NA,NA,14.7,2,NA,NA,11.6,1.2,NA,NA,34.6,15.8,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Gallotia_galloti,Non acrodont,18,50.4,100,NA,24.6,16.7,12.8,NA
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, et al., 1999",Lacertidae,Juvenile,97,64,NA,NA,NA,NA,58.88,1.25,NA,NA,14.79,1.2,NA,NA,8.91,1.25,NA,NA,6.76,1.25,NA,NA,2.38,1.01,NA,NA,NA,NA,NA,NA,Yes2,Lacertoidea,Gallotia_galloti,Non acrodont,18,3.39,60.13,NA,15.99,10.16,8.01,NA
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, et al., 1999",Lacertidae,Female,83,22,NA,NA,NA,NA,93.33,1.09,NA,NA,22.13,1.09,NA,NA,14.13,1.11,NA,NA,11.22,1.13,NA,NA,33.51,14.2,NA,NA,NA,NA,NA,NA,Yes2,Lacertoidea,Gallotia_galloti,Non acrodont,18,47.71,94.42,NA,23.22,15.24,12.35,NA
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, et al., 1999",Lacertidae,Male,56,16,NA,NA,NA,NA,109.65,1.11,NA,NA,28.18,1.16,NA,NA,18.62,1.17,NA,NA,14.79,1.21,NA,NA,108.57,40.21,NA,NA,NA,NA,NA,NA,Yes2,Lacertoidea,Gallotia_galloti,Non acrodont,18,148.78,110.76,NA,29.34,19.79,16,NA
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Male,14,14,52.4,3.6,NA,NA,113.4,3.8,NA,NA,28.6,2.3,NA,NA,18.9,0.6,NA,NA,14.7,0.4,NA,NA,79.5,8.6,NA,NA,31.2,2.4,NA,NA,Maybe,Lacertoidea,Gallotia_galloti,Non acrodont,14,88.1,117.2,56,30.9,19.5,15.1,33.6
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Female,22,22,21.3,5,NA,NA,91.8,5.5,NA,NA,21.1,1.3,NA,NA,12.4,0.9,NA,NA,9.9,0.8,NA,NA,26.3,7.9,NA,NA,22.9,1.5,NA,NA,Maybe,Lacertoidea,Gallotia_galloti,Non acrodont,14,34.2,97.3,26.3,22.4,13.3,10.7,24.4
Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, 2007",Lacertidae,Male,15,15,NA,NA,NA,NA,112.03,10.24,NA,NA,30.22,3.19,NA,NA,19.9,2.14,NA,NA,16.31,2.7,NA,NA,107.63,32.24,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Gallotia_galloti,Non acrodont,18,139.87,122.27,NA,33.41,22.04,19.01,NA
Gallotia intermedia,Paleartic,Saxicolous,Omnivorous,Other,Other,Saxicolous,Lopez-Darias et al. 2015,Lacertidae,Male,1,1,123,NA,NA,NA,154.8,NA,NA,NA,42.3,NA,NA,NA,28.4,NA,NA,NA,20.3,NA,NA,NA,121.9,NA,NA,NA,34.6,NA,NA,NA,Maybe,Lacertoidea,Gallotia_intermedia,Non acrodont,21,121.9,154.8,123,42.3,28.4,20.3,34.6
Gallotia intermedia,Paleartic,Saxicolous,Omnivorous,Other,Other,Saxicolous,Lopez-Darias et al. 2015,Lacertidae,Female,4,4,59.7,33.3,NA,NA,122.2,18.2,NA,NA,28.3,3.6,NA,NA,17.9,1.7,NA,NA,13.4,1.8,NA,NA,48,21.3,NA,NA,30.3,3.5,NA,NA,Maybe,Lacertoidea,Gallotia_intermedia,Non acrodont,14,69.3,140.4,93,31.9,19.6,15.2,33.8
Gallotia simonyi,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Male,11,11,446.2,81.1,NA,NA,236.5,11.3,NA,NA,56.8,3.2,NA,NA,40.7,3.1,NA,NA,30.3,2.5,NA,NA,143,23.3,NA,NA,61.1,3.6,NA,NA,Maybe,Lacertoidea,Gallotia_simonyi,Non acrodont,14,166.3,247.8,527.3,60,43.8,32.8,64.7
Gallotia simonyi,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Female,14,14,238.6,32.9,NA,NA,196.1,8.6,NA,NA,42.6,2.3,NA,NA,28.3,3.2,NA,NA,22.1,0.9,NA,NA,105.6,9,NA,NA,45,2.8,NA,NA,Maybe,Lacertoidea,Gallotia_simonyi,Non acrodont,14,114.6,204.7,271.5,44.9,31.5,23,47.8
Gallotia stehlini,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Male,16,16,235.4,99.3,NA,NA,189.1,22.5,NA,NA,48.2,7.9,NA,NA,32.2,5.6,NA,NA,24.3,5,NA,NA,124.1,23.6,NA,NA,51.6,7.8,NA,NA,Maybe,Lacertoidea,Gallotia_stehlini,Non acrodont,14,147.7,211.6,334.7,56.1,37.8,29.3,59.4
Gallotia stehlini,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,Lopez-Darias et al. 2015,Lacertidae,Female,25,25,107.6,28.1,NA,NA,156.8,14.9,NA,NA,35.6,4.3,NA,NA,22.4,3,NA,NA,17.1,2.2,NA,NA,83.7,14,NA,NA,38.2,4.5,NA,NA,Maybe,Lacertoidea,Gallotia_stehlini,Non acrodont,14,97.7,171.7,135.7,39.9,25.4,19.3,42.7
Gekko gecko,Indomalaya,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Montuelle and Williams, 2015",Gekkonidae,Male,5,5,33.7,1.7,NA,NA,123.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.38,4.92,NA,29.1,NA,NA,NA,NA,Maybe,Gekkota,Gekko_gecko,Non acrodont,21,16.3,127.4,35.4,NA,NA,NA,NA
Iberolacerta horvathi,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Zagar, et al., 2017",Lacertidae,Male,26,26,NA,NA,NA,NA,54.3,3.35,NA,61.6,19.28,1.18,NA,21.3,7.62,0.4,NA,8.6,4.92,0.34,NA,5.6,1.54,0.37,NA,2.489,NA,NA,NA,NA,Yes1,Lacertoidea,Iberolacerta_horvathi,Non acrodont,13,1.91,57.65,NA,20.46,8.02,5.26,NA
Iberolacerta horvathi,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Zagar, et al., 2017",Lacertidae,Female,25,25,NA,NA,NA,NA,59.28,4.02,NA,66.1,18.71,1.39,NA,20.6,7.35,0.39,NA,8.2,4.67,0.41,NA,5.6,0.9,0.24,NA,1.3395,NA,NA,NA,NA,Yes1,Lacertoidea,Iberolacerta_horvathi,Non acrodont,13,1.14,63.3,NA,20.1,7.74,5.08,NA
Karusasaurus polyzonus,Afrotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,Broeckhoven & Mouton 2014,Cordylidae,Male,16,16,NA,NA,NA,NA,101.04,7.3,NA,NA,25.78,1.82,NA,NA,21.68,2.01,NA,NA,12.81,1.14,NA,NA,33.19,13.63,NA,NA,26.48,1.81,NA,NA,Yes1,Scincoidea,Karusasaurus_polyzonus,Non acrodont,16,46.82,108.34,NA,27.6,23.69,13.95,28.29
Karusasaurus polyzonus,Afrotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,Broeckhoven & Mouton 2014,Cordylidae,Female,20,20,NA,NA,NA,NA,105.3,6.34,NA,NA,26.08,1.37,NA,NA,21.42,1.53,NA,NA,12.72,0.84,NA,NA,30.15,6.31,NA,NA,26.37,1.55,NA,NA,Yes1,Scincoidea,Karusasaurus_polyzonus,Non acrodont,16,36.46,111.64,NA,27.45,22.95,13.56,27.92
Archaeolacerta bedriagae,Paleartic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Male,14,14,NA,NA,NA,NA,67.9,9.3,NA,NA,18.3,2.9,NA,NA,10.9,1.8,NA,NA,6.9,1.2,NA,NA,7.2,3.8,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Archaeolacerta_bedriagae,Non acrodont,18,11,77.2,NA,21.2,12.7,8.1,NA
Archaeolacerta bedriagae,Paleartic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Female,7,7,NA,NA,NA,NA,63.1,9.8,NA,NA,15.6,2.1,NA,NA,9.3,1.3,NA,NA,6.2,1.1,NA,NA,3.8,2.2,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Archaeolacerta_bedriagae,Non acrodont,18,6,72.9,NA,17.7,10.6,7.3,NA
Lacerta bilineata,Paleartic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2004",Lacertidae,Male,2,2,NA,NA,NA,NA,90.4,2.5,NA,NA,24.4,1.5,NA,NA,15.8,0.3,NA,NA,11.8,0.3,NA,NA,23.3,0.2,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Lacerta_bilineata,Non acrodont,18,23.5,92.9,NA,25.9,16.1,12.1,NA
Lacerta bilineata,Paleartic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2004",Lacertidae,Female,2,2,NA,NA,NA,NA,98.2,1.7,NA,NA,23.2,0.1,NA,NA,14,0.3,NA,NA,11.2,1.2,NA,NA,14.5,1.5,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Lacerta_bilineata,Non acrodont,18,16,99.9,NA,23.3,14.3,12.4,NA
Iberolacerta monticola,Paleartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen & Van Damme, 2007",Lacertidae,Male,6,6,NA,NA,NA,NA,73.28,NA,NA,NA,17.96,NA,NA,NA,11.18,NA,NA,NA,7.89,NA,NA,NA,12.91,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Iberolacerta_monticola,Non acrodont,23,12.91,73.28,NA,17.96,11.18,7.89,NA
Dalmatolacerta oxycephala,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Male,11,11,NA,NA,NA,NA,59.3,3.7,NA,NA,15.1,0.9,NA,NA,8.7,0.5,NA,NA,5.9,0.4,NA,NA,3.9,0.8,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Dalmatolacerta_oxycephala,Non acrodont,18,4.7,63,NA,16,9.2,6.3,NA
Dalmatolacerta oxycephala,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Female,10,10,NA,NA,NA,NA,49.7,7.4,NA,NA,12.6,1.2,NA,NA,7,0.8,NA,NA,4.8,0.5,NA,NA,1.6,0.6,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Dalmatolacerta_oxycephala,Non acrodont,18,2.2,57.1,NA,13.8,7.8,5.3,NA
Dalmatolacerta oxycephala,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen, et al., 2002",Lacertidae,Male,34,34,NA,NA,NA,NA,58.4,3,NA,NA,15.1,1,NA,NA,8.2,0.9,NA,NA,5.8,0.9,NA,NA,5.9,2,NA,NA,15.9,0.3,NA,NA,Yes1,Lacertoidea,Dalmatolacerta_oxycephala,Non acrodont,16,7.9,61.4,NA,16.1,9.1,6.7,16.2
Dalmatolacerta oxycephala,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen, et al., 2002",Lacertidae,Female,13,13,NA,NA,NA,NA,52.9,5.4,NA,NA,13.2,1,NA,NA,7.1,0.7,NA,NA,4.9,0.6,NA,NA,2.9,0.7,NA,NA,13.9,1.1,NA,NA,Yes1,Lacertoidea,Dalmatolacerta_oxycephala,Non acrodont,16,3.6,58.3,NA,14.2,7.8,5.5,15
Dalmatolacerta oxycephala,Paleartic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Verwaijen, et al., 2002",Lacertidae,Sub-Adult,7,7,NA,NA,NA,NA,43.5,5.7,NA,NA,11,1.2,NA,NA,6,0.7,NA,NA,4,0.6,NA,NA,1.3,0.6,NA,NA,12,1.3,NA,NA,Yes1,Lacertoidea,Dalmatolacerta_oxycephala,Non acrodont,16,1.9,49.2,NA,12.2,6.7,4.6,13.3
Lacerta schreiberi,Paleartic,Terrestrial,Carnivorous,Other,Other,Other,"Verwaijen & Van Damme, 2007",Lacertidae,Male,7,7,NA,NA,NA,NA,95.57,NA,NA,NA,24.58,NA,NA,NA,17.01,NA,NA,NA,13.22,NA,NA,NA,34.23,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Lacerta_schreiberi,Non acrodont,23,34.23,95.57,NA,24.58,17.01,13.22,NA
Lacerta trilineata,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Sagonas, et al., 2014",Lacertidae,Male,12,12,NA,NA,NA,NA,139.7,1.26,NA,158,43.2,0.55,NA,54.1,24,0.56,NA,32.5,21.4,0.46,NA,28.1,66.43,12.41,NA,NA,28.5,0.42,NA,33.9,Yes1,Lacertoidea,Lacerta_trilineata,Non acrodont,11,78.84,140.96,NA,43.75,24.56,21.86,28.92
Lacerta trilineata,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Sagonas, et al., 2014",Lacertidae,Female,12,12,NA,NA,NA,NA,120.3,1.34,NA,148,35.8,0.41,NA,44.7,17.2,0.25,NA,23.2,14.1,0.53,NA,16.6,39.43,7.98,NA,NA,21,0.25,NA,25.6,Yes1,Lacertoidea,Lacerta_trilineata,Non acrodont,11,47.41,121.64,NA,36.21,17.45,14.63,21.25
Zootoca vivipara,Paleartic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2001a",Lacertidae,Female,16,16,2.59,0.74,NA,NA,50.44,5.21,NA,NA,9.62,0.62,NA,NA,6.09,0.42,NA,NA,4.59,0.36,NA,NA,1.42,0.44,NA,NA,10.04,0.63,NA,NA,Yes2,Lacertoidea,Zootoca_vivipara,Non acrodont,14,1.86,55.65,3.33,10.24,6.51,4.95,10.67
Zootoca vivipara,Paleartic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2001a",Lacertidae,Male,20,20,3.04,0.54,NA,NA,49.69,3.09,NA,NA,10.9,0.58,NA,NA,6.79,0.36,NA,NA,5.43,0.37,NA,NA,2.08,0.42,NA,NA,11.1,0.66,NA,NA,Yes2,Lacertoidea,Zootoca_vivipara,Non acrodont,14,2.5,52.78,3.58,11.48,7.15,5.8,11.76
Zootoca vivipara,Paleartic,Terrestrial,Carnivorous,Other,Other,Other,"Verwaijen & Van Damme, 2007",Lacertidae,Male,8,8,NA,NA,NA,NA,52.63,NA,NA,NA,11.54,NA,NA,NA,7.19,NA,NA,NA,5.71,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Zootoca_vivipara,Non acrodont,23,2.29,52.63,NA,11.54,7.19,5.71,NA
Latastia longicaudata,Afrotropic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2004",Lacertidae,Male,3,3,NA,NA,NA,NA,90.4,5.4,NA,NA,20.5,1.2,NA,NA,11.2,0.5,NA,NA,9.5,0.5,NA,NA,7,2,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Latastia_longicaudata,Non acrodont,18,9,95.8,NA,21.7,11.7,10,NA
Latastia longicaudata,Afrotropic,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2004",Lacertidae,Female,4,4,NA,NA,NA,NA,76.6,6.5,NA,NA,17.8,1.6,NA,NA,9.5,0.5,NA,NA,7.9,0.4,NA,NA,4.6,0.8,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Latastia_longicaudata,Non acrodont,18,5.4,83.1,NA,19.4,10,8.3,NA
Liolaemus baguali,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,6,6,NA,NA,NA,NA,85.17,14.37850479,5.87,NA,18.43,2.792418307,1.14,NA,12.46,2.278025461,0.93,NA,7.73,1.420704051,0.58,NA,12.99,3.992668281,1.63,NA,19.27,3.037367281,1.24,NA,Yes1,Pleurodonta,Liolaemus_baguali,Non acrodont,10,16.98266828,99.54850479,NA,21.22241831,14.73802546,9.150704051,22.30736728
Liolaemus baguali,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,2,2,NA,NA,NA,NA,81.79,3.74766594,2.65,NA,15.9,0.353553391,0.25,NA,10.98,0.806101731,0.57,NA,7.13,0.961665222,0.68,NA,10.4,2.503158005,1.77,NA,16.66,0.296984848,0.21,NA,Yes1,Pleurodonta,Liolaemus_baguali,Non acrodont,10,12.90315801,85.53766594,NA,16.25355339,11.78610173,8.091665222,16.95698485
Liolaemus bibronii,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,4,4,NA,NA,NA,NA,53.87,2.78,1.39,NA,11.69,0.44,0.22,NA,7.64,0.64,0.32,NA,5.45,0.48,0.24,NA,3.27,0.54,0.27,NA,11.71,0.44,0.22,NA,Yes1,Pleurodonta,Liolaemus_bibronii,Non acrodont,10,3.81,56.65,NA,12.13,8.28,5.93,12.15
Liolaemus bibronii,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,4,4,NA,NA,NA,NA,55.98,3.06,1.53,NA,11.38,0.44,0.22,NA,7.81,0.46,0.23,NA,5.43,0.28,0.14,NA,2.46,0.6,0.3,NA,11.52,0.34,0.17,NA,Yes1,Pleurodonta,Liolaemus_bibronii,Non acrodont,10,3.06,59.04,NA,11.82,8.27,5.71,11.86
Liolaemus canqueli,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,7,7,NA,NA,NA,NA,94.81,6.349803147,2.4,NA,18.63,1.111215551,0.42,NA,11.27,1.402248195,0.53,NA,9.5,0.396862697,0.15,NA,14.14,2.672208824,1.01,NA,19.62,1.375790682,0.52,NA,Yes1,Pleurodonta,Liolaemus_canqueli,Non acrodont,10,16.81220882,101.1598031,NA,19.74121555,12.67224819,9.896862697,20.99579068
Liolaemus canqueli,Neotropic,Arboreal/Terrestrial,Omnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Female,4,4,NA,NA,NA,NA,88.7,4.3,2.15,NA,17.04,0.92,0.46,NA,11.27,1.06,0.53,NA,8.02,0.62,0.31,NA,10.95,2.42,1.21,NA,17.77,0.94,0.47,NA,Yes1,Pleurodonta,Liolaemus_canqueli,Non acrodont,10,13.37,93,NA,17.96,12.33,8.64,18.71
Liolaemus kriegi,Neotropic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Male,3,3,NA,NA,NA,NA,78.17,4.468691084,2.58,NA,16.64,0.969948452,0.56,NA,12.38,0.727461339,0.42,NA,7.89,0.917986928,0.53,NA,8.32,1.368320138,0.79,NA,17.03,1.056550993,0.61,NA,Yes1,Pleurodonta,Liolaemus_kriegi,Non acrodont,10,9.688320138,82.63869108,NA,17.60994845,13.10746134,8.807986928,18.08655099
Liolaemus kriegi,Neotropic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Vanhoydonck, et al., 2010",Liolaemidae,Female,5,5,NA,NA,NA,NA,76.39,3.667151483,1.64,NA,16.11,0.424852916,0.19,NA,11.47,0.491934955,0.22,NA,7.25,0.313049517,0.14,NA,5.62,0.849705831,0.38,NA,16.54,0.894427191,0.4,NA,Yes1,Pleurodonta,Liolaemus_kriegi,Non acrodont,10,6.469705831,80.05715148,NA,16.53485292,11.96193496,7.563049517,17.43442719
Liolaemus coeruleus,Neotropic,Terrestrial,Carnivorous,Other,Other,Other,"Vanhoydonck, et al., 2010",Liolaemidae,Male,13,13,NA,NA,NA,NA,61.69,2.956552046,0.82,NA,12.89,0.576888204,0.16,NA,9.34,0.612943717,0.17,NA,5.81,0.432666153,0.12,NA,5.08,1.297998459,0.36,NA,13.49,0.540832691,0.15,NA,Yes1,Pleurodonta,Liolaemus_coeruleus,Non acrodont,10,6.377998459,64.64655205,NA,13.4668882,9.952943717,6.242666153,14.03083269
